                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78224,                 1.8546,                0.92315,                      1,                0.72849,                0.98262,                0.85673,                0.60554,                 1.7084,                0.81374,                0.00062,                0.00062,                0.00062
                      2,                0.48081,                0.49044,                0.85401,                0.99491,                0.97693,                0.99451,                 0.8701,                0.58002,                  1.102,                0.81511,              0.0012184,              0.0012184,              0.0012184
                      3,                0.47158,                0.44505,                0.85108,                0.98997,                0.98714,                0.99397,                0.85948,                0.56291,                 0.5017,                0.82109,              0.0017746,              0.0017746,              0.0017746
                      4,                0.45586,                 0.4069,                0.84841,                0.99793,                  0.985,                0.99489,                0.89625,                0.46571,                0.39749,                 0.7858,               0.001802,               0.001802,               0.001802
                      5,                0.42396,                0.36914,                 0.8431,                0.99538,                   0.99,                0.99459,                0.88822,                0.47141,                0.42046,                0.79502,               0.001736,               0.001736,               0.001736
                      6,                0.41962,                 0.3555,                0.84315,                0.99885,                   0.99,                0.99486,                0.95392,                0.32373,                0.32594,                0.76812,                0.00167,                0.00167,                0.00167
                      7,                0.40772,                0.33131,                 0.8396,                0.99598,                0.99184,                0.99482,                0.96626,                0.29972,                0.29352,                 0.7622,               0.001604,               0.001604,               0.001604
                      8,                0.39898,                 0.3247,                0.83564,                0.99499,                 0.9929,                0.99485,                0.94916,                0.35083,                0.33411,                0.77599,               0.001538,               0.001538,               0.001538
                      9,                0.37939,                0.30469,                0.83268,                0.99666,                  0.992,                0.99496,                0.93954,                0.37026,                0.28812,                0.78253,               0.001472,               0.001472,               0.001472
                     10,                0.36792,                0.29761,                0.83417,                0.99353,                  0.992,                0.99492,                0.97281,                0.26117,                0.24853,                0.76097,               0.001406,               0.001406,               0.001406
                     11,                0.36691,                0.29761,                0.83211,                0.99363,                  0.994,                0.99493,                0.96495,                0.25959,                0.29732,                0.76447,                0.00134,                0.00134,                0.00134
                     12,                0.36407,                0.28956,                0.83531,                0.99599,                0.99292,                0.99494,                0.97409,                0.26397,                0.23816,                0.76295,               0.001274,               0.001274,               0.001274
                     13,                0.35962,                0.28341,                0.82793,                0.99899,                 0.9923,                0.99499,                0.96464,                0.28536,                0.25013,                0.76367,               0.001208,               0.001208,               0.001208
                     14,                0.34907,                0.27452,                0.82542,                0.99799,                0.99236,                0.99499,                0.94561,                 0.3864,                 0.2732,                0.77855,               0.001142,               0.001142,               0.001142
                     15,                0.34377,                 0.2714,                0.82484,                0.99832,                  0.992,                  0.995,                0.93297,                0.38987,                0.28123,                0.77928,               0.001076,               0.001076,               0.001076
                     16,                0.33663,                0.26514,                0.82663,                0.99779,                  0.993,                0.99498,                0.98756,                0.22803,                 0.2172,                0.75946,                0.00101,                0.00101,                0.00101
                     17,                0.33124,                0.25878,                0.82376,                 0.9942,                  0.993,                0.99495,                0.96394,                0.31442,                0.25558,                0.77247,               0.000944,               0.000944,               0.000944
                     18,                0.32434,                 0.2477,                   0.82,                0.99799,                0.99271,                0.99498,                0.98396,                0.22274,                 0.2111,                0.75813,               0.000878,               0.000878,               0.000878
                     19,                0.32267,                0.24526,                0.82201,                  0.999,                0.99591,                0.99499,                 0.9895,                0.19982,                0.19694,                0.75511,               0.000812,               0.000812,               0.000812
                     20,                0.32046,                0.24653,                0.82346,                  0.998,                0.99598,                  0.995,                0.98473,                0.24039,                0.20748,                0.76048,               0.000746,               0.000746,               0.000746
                     21,                0.27504,                0.22218,                0.79637,                0.99596,                  0.994,                0.99498,                0.96155,                 0.3366,                0.24081,                0.77333,                0.00068,                0.00068,                0.00068
                     22,                0.27259,                0.22103,                0.79796,                0.99795,                  0.996,                0.99499,                0.97396,                0.30252,                0.22585,                0.76939,               0.000614,               0.000614,               0.000614
                     23,                0.26867,                0.21418,                0.79523,                0.99799,                0.99465,                0.99498,                0.98804,                0.19198,                0.18952,                0.75212,               0.000548,               0.000548,               0.000548
                     24,                0.26075,                0.20655,                0.79752,                 0.9967,                  0.996,                0.99499,                0.97955,                0.27456,                0.20415,                0.76283,               0.000482,               0.000482,               0.000482
                     25,                0.25533,                0.19941,                0.79425,                0.99767,                  0.994,                0.99498,                0.97845,                0.25204,                0.19385,                0.76162,               0.000416,               0.000416,               0.000416
                     26,                0.25533,                 0.1972,                0.79502,                0.99778,                  0.995,                0.99499,                0.98303,                0.22099,                0.17929,                0.75767,                0.00035,                0.00035,                0.00035
                     27,                0.24724,                0.19127,                0.79259,                0.99759,                  0.996,                0.99498,                0.98911,                0.18321,                0.17223,                0.75247,               0.000284,               0.000284,               0.000284
                     28,                0.24408,                0.18802,                0.79463,                0.99562,                  0.998,                0.99498,                0.98497,                0.21211,                0.17288,                0.75406,               0.000218,               0.000218,               0.000218
                     29,                 0.2358,                0.17926,                 0.7894,                  0.999,                0.99593,                  0.995,                0.97854,                0.24296,                  0.174,                0.75623,               0.000152,               0.000152,               0.000152
                     30,                 0.2321,                0.17491,                0.78876,                  0.998,                0.99687,                  0.995,                0.98463,                0.22764,                0.16541,                0.75589,                8.6e-05,                8.6e-05,                8.6e-05
